id,bill_id,related_bill_id,identifier,legislative_session,relation_type
ff282173-6a6a-4fc7-9a26-854e304d8973,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,ocd-bill/bf8ba42d-25e2-4f17-8a43-efd0018a4138,HR 29,119,companion
ff056878-b176-4344-ab01-76d671126879,ocd-bill/d5dc20c3-f10f-4d0b-9faf-95204b703224,ocd-bill/198f036b-58b8-44cd-8f30-9aadba94c790,HJRES 18,119,companion
e593c2b7-cb28-49c7-ab24-28922517bd85,ocd-bill/799db2d8-b83b-47a3-840e-dc4daa5f2536,ocd-bill/271c5064-4cb0-46ac-a05f-e489c6dd2b19,HR 51,119,companion
ed3271e1-2355-4cfa-8110-44a8141f86dd,ocd-bill/137cea48-614f-4545-8c56-5595e4df59ad,ocd-bill/0c0af215-9cc7-4120-bc3b-fd4c5506f7b4,S 96,119,companion
865251ad-9212-4fc2-b48c-32c93b25c3fa,ocd-bill/0c0af215-9cc7-4120-bc3b-fd4c5506f7b4,ocd-bill/137cea48-614f-4545-8c56-5595e4df59ad,HR 451,119,companion
7a512fb2-3039-4216-8c3b-0649d54f0070,ocd-bill/ff7d344c-c182-4bba-9da4-c34d3c2632e2,ocd-bill/3754e90e-b129-4d80-a34c-1c372d7eaae4,HR 452,119,companion
70ab402b-c1a4-4532-96dd-af35b980a715,ocd-bill/271c5064-4cb0-46ac-a05f-e489c6dd2b19,ocd-bill/799db2d8-b83b-47a3-840e-dc4daa5f2536,S 51,119,companion
f491156b-d3d5-48ff-a1f6-0711d4b9796c,ocd-bill/9de187a3-32a0-4cd4-a6d6-b7653b4b1ecf,ocd-bill/3ef858ed-1418-4ee7-8d4b-b91383cbb938,S 6,119,companion
68aa92ff-4f0f-40c7-9544-7a5078e29abc,ocd-bill/9de187a3-32a0-4cd4-a6d6-b7653b4b1ecf,ocd-bill/2c089ed7-8815-4d47-b432-e93c7c9eb1df,HRES 5,119,companion
bac6fa57-6b75-45a8-bd5c-87d7271b44a9,ocd-bill/3ef858ed-1418-4ee7-8d4b-b91383cbb938,ocd-bill/9de187a3-32a0-4cd4-a6d6-b7653b4b1ecf,HR 21,119,companion
4437a1a5-4e63-4ba2-a647-a9c57cd48db0,ocd-bill/3754e90e-b129-4d80-a34c-1c372d7eaae4,ocd-bill/ff7d344c-c182-4bba-9da4-c34d3c2632e2,S 94,119,companion
34f7ca68-6810-4182-b0f9-5667d11e5bdf,ocd-bill/bf8ba42d-25e2-4f17-8a43-efd0018a4138,ocd-bill/64132b9b-fdb2-4e7d-b1f5-41cd1d38cdc0,S 5,119,companion
